RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd
189.67804,45.30687,1372,486,53062,-23.2,45.236,0.004,42.35,0.02,4399.3,330.1,62.0,3.1,23.06,8.33,0.07,-1.2
189.77188,41.44564,1984,609,53433,-22.29,44.819,0.005,42.11,0.04,2371.4,541.6,89.4,8.7,15.06,7.59,0.2,-0.87
189.81419,53.2374,885,449,52379,-22.69,45.121,0.004,41.93,0.04,10756.6,4366.4,32.1,3.4,16.27,9.05,0.35,-2.03
189.93733,19.90707,2614,350,54481,-23.37,45.132,0.001,42.55,0.02,15241.3,362.8,118.7,6.3,19.79,9.36,0.02,-2.33
189.99405,49.09448,1278,96,52735,-22.77,45.166,0.011,42.25,0.01,1385.6,48.6,52.5,2.9,15.96,7.29,0.03,-0.23
190.0544,31.04537,2237,448,53828,-22.7,45.098,0.005,41.54,0.08,4940.4,2527.9,13.2,3.2,17.4,8.36,0.44,-1.37
190.40521,44.7483,1372,589,53062,-22.45,45.066,0.002,41.42,0.03,1506.3,110.8,10.2,0.67,18.0,7.32,0.06,-0.35
190.59734,19.78912,2614,279,54481,-22.9,45.099,0.002,42.3,0.02,4480.9,176.4,72.2,3.1,27.18,8.28,0.03,-1.28
190.65991,4.93792,846,119,52407,-22.7,45.035,0.004,42.32,0.03,6825.3,345.0,87.4,6.0,17.87,8.61,0.04,-1.68
190.84929,5.24622,846,596,52407,-23.07,45.189,0.002,42.41,0.02,3693.9,232.3,77.8,3.1,29.46,8.16,0.05,-1.07
190.92404,9.28532,1789,190,54259,-23.3,45.379,0.001,42.52,0.03,1978.8,402.1,59.9,3.8,33.13,7.71,0.18,-0.43
190.94144,6.57526,1790,217,53876,-22.43,45.042,0.006,42.11,0.05,10981.2,1482.7,54.6,7.0,15.27,9.03,0.12,-2.09
191.08318,40.86023,1985,429,53431,-22.69,45.157,0.004,41.67,0.1,3221.5,1333.3,15.6,3.9,16.85,8.02,0.36,-0.96
191.24509,17.54988,2601,271,54144,-22.91,45.177,0.003,42.31,0.01,3212.8,225.6,64.2,2.2,19.93,8.03,0.06,-0.95
191.34576,31.87208,1975,180,53734,-22.67,45.207,0.007,42.11,0.04,12722.7,903.4,36.5,3.3,21.68,9.24,0.06,-2.13
191.35986,7.73209,1790,472,53876,-22.72,45.151,0.006,41.81,0.1,9643.6,2711.6,21.4,5.4,15.68,8.97,0.24,-1.92
191.46266,3.35788,522,408,52024,-23.54,45.419,0.019,42.76,0.01,7625.9,290.0,95.7,5.9,34.65,8.9,0.03,-1.58
191.58711,18.35663,2601,378,54144,-22.82,45.056,0.005,42.17,0.06,3712.9,441.2,58.3,6.9,16.9,8.09,0.1,-1.14
191.79945,29.65291,2239,239,53726,-23.27,45.157,0.003,42.62,0.02,2885.8,226.9,125.2,4.7,29.22,7.93,0.07,-0.87
191.81377,67.82478,495,333,51988,-22.93,45.134,0.007,42.32,0.04,1885.5,1252.6,70.8,5.9,16.28,7.54,0.58,-0.51
191.88229,45.0226,1373,434,53063,-22.87,45.183,0.005,42.29,0.03,6019.3,401.8,57.3,5.3,18.99,8.58,0.06,-1.49
192.05762,36.40657,2022,553,53827,-22.45,45.033,0.004,42.11,0.03,10250.8,707.3,55.6,4.3,16.55,8.96,0.06,-2.03
192.13971,56.58541,1317,98,52765,-23.17,45.298,0.008,42.2,0.1,9285.2,3235.8,38.2,8.9,15.52,9.01,0.3,-1.81
192.22458,34.40819,1987,464,53765,-23.6,45.488,0.003,42.62,0.02,7355.6,362.9,59.7,3.4,28.04,8.9,0.04,-1.52
192.38217,52.51086,886,396,52381,-23.64,45.531,0.009,42.86,0.04,2803.0,235.0,90.8,8.4,38.97,8.09,0.07,-0.66
192.40251,33.50838,1987,164,53765,-23.1,45.332,0.004,41.78,0.09,16043.2,4447.3,12.7,2.8,33.19,9.5,0.24,-2.27
192.41,46.79026,1455,68,53089,-22.46,44.984,0.008,41.91,0.07,1617.0,489.7,38.2,4.3,24.04,7.34,0.26,-0.45
192.56757,4.96252,847,558,52426,-22.94,45.246,0.005,42.3,0.06,3908.4,959.6,51.9,6.4,22.82,8.23,0.21,-1.09
192.71269,6.15277,847,602,52426,-22.91,45.181,0.003,42.12,0.04,2158.8,137.6,39.1,3.1,20.58,7.69,0.06,-0.6
192.75185,66.05745,495,207,51988,-24.43,45.877,0.001,42.95,0.01,1478.9,24.7,49.8,0.62,40.11,7.71,0.01,0.07
192.92616,24.07647,2661,197,54505,-23.02,45.211,0.001,42.6,0.02,7013.1,201.9,106.5,4.0,28.92,8.72,0.03,-1.61
192.93208,32.69266,1987,82,53765,-23.36,45.308,0.007,42.64,0.03,3781.0,243.3,93.6,7.1,20.67,8.24,0.06,-1.03
193.08147,18.34335,2601,575,54144,-22.52,45.101,0.005,41.9,0.04,7674.9,767.3,29.7,3.0,20.59,8.75,0.09,-1.75
193.15062,14.03722,1770,58,53171,-23.66,45.577,0.002,42.65,0.04,3290.4,145.0,52.2,4.8,29.56,8.25,0.04,-0.77
193.19359,2.18839,522,28,52024,-22.37,45.064,0.004,41.88,0.03,3693.4,531.2,29.9,2.0,15.45,8.09,0.12,-1.13
193.36543,14.91556,1771,353,53498,-23.16,45.414,0.004,42.79,0.02,14684.9,263.3,104.6,4.3,29.42,9.47,0.02,-2.15
193.40714,21.43838,2649,215,54212,-23.62,45.464,0.004,42.78,0.01,5057.8,85.5,88.6,3.2,50.19,8.57,0.01,-1.2
193.43216,12.45597,1695,400,53473,-23.36,45.251,0.005,42.63,0.02,8516.3,179.5,74.7,5.6,27.38,8.91,0.02,-1.76
193.46281,6.64763,1792,124,54270,-22.68,45.041,0.006,42.42,0.03,12599.4,582.1,112.8,8.5,16.27,9.15,0.04,-2.21
193.53825,25.92354,2661,550,54505,-22.49,45.127,0.004,42.18,0.02,3789.4,379.7,50.2,2.6,25.52,8.15,0.09,-1.12
193.96889,-2.89384,337,30,51997,-23.15,45.356,0.003,42.55,0.04,6171.1,217.3,68.6,6.0,20.8,8.69,0.03,-1.43
194.41388,8.15881,1794,331,54504,-23.94,45.564,0.002,42.24,0.12,3722.3,998.0,20.5,7.3,30.37,8.35,0.23,-0.89
194.53107,23.48933,2662,293,54505,-24.12,45.637,0.002,42.46,0.04,4578.7,871.9,29.9,2.6,33.65,8.57,0.17,-1.03
194.66898,56.05942,1318,242,52781,-22.87,45.198,0.004,42.2,0.02,4235.3,286.4,45.8,2.6,19.27,8.28,0.06,-1.18
194.76808,50.81458,1280,361,52738,-22.92,45.282,0.003,41.99,0.05,6217.3,1284.7,23.1,2.7,19.75,8.65,0.18,-1.47
194.78174,59.74718,957,520,52398,-22.58,45.015,0.006,42.12,0.03,3579.6,984.2,59.8,5.3,16.94,8.04,0.24,-1.13
194.78484,56.25853,1318,201,52781,-22.76,45.215,0.005,42.31,0.02,7756.9,299.8,55.2,3.6,27.04,8.81,0.03,-1.7
194.81354,9.53444,1793,280,53883,-23.04,45.284,0.006,42.3,0.03,3883.0,363.6,46.6,3.9,19.86,8.25,0.08,-1.06
194.88953,-1.47594,338,579,51694,-23.32,45.364,0.002,42.11,0.03,2823.0,460.1,24.7,1.9,27.01,8.01,0.14,-0.75
195.03333,3.93239,849,300,52439,-23.01,45.217,0.005,42.25,0.05,15733.5,2518.4,51.4,7.5,20.98,9.43,0.14,-2.31
195.15091,13.78491,1771,100,53498,-22.67,45.033,0.004,42.13,0.05,1942.9,227.1,56.7,6.4,27.54,7.52,0.1,-0.59
195.22937,67.41791,495,515,51988,-22.65,45.055,0.004,42.21,0.03,3787.8,208.7,63.6,4.4,15.38,8.11,0.05,-1.16
195.26462,6.95326,1794,190,54504,-23.11,45.196,0.004,42.32,0.02,3529.6,263.9,57.3,2.7,21.92,8.12,0.06,-1.02
195.40193,24.35945,2662,172,54505,-22.49,45.089,0.005,42.34,0.03,2707.1,302.4,79.2,6.4,18.85,7.84,0.1,-0.85
195.57301,25.72062,2662,445,54505,-23.25,45.385,0.004,42.52,0.02,3597.3,451.5,59.6,4.1,24.45,8.23,0.11,-0.95
195.59633,14.10251,1771,107,53498,-24.45,45.87,0.002,43.1,0.01,1842.6,51.2,72.9,1.5,38.33,7.89,0.02,-0.12
195.60806,-1.08644,294,299,51986,-22.84,45.25,0.004,41.85,0.07,7229.1,2223.1,18.5,3.5,20.12,8.77,0.27,-1.62
195.71049,11.30777,1696,244,53116,-23.15,45.345,0.002,42.42,0.02,1942.4,98.2,50.5,1.6,25.46,7.68,0.04,-0.43
195.89711,-0.82022,294,260,51986,-22.57,45.05,0.006,42.18,0.04,7081.5,352.0,61.5,6.0,17.75,8.65,0.04,-1.7
196.07083,2.09364,524,165,52027,-23.45,45.394,0.002,42.2,0.11,1420.2,735.6,28.0,5.6,28.8,7.43,0.45,-0.13
196.08885,17.31855,2603,200,54479,-22.56,44.962,0.004,42.19,0.03,5060.4,209.1,74.6,5.0,21.75,8.32,0.04,-1.45
196.09105,56.13811,1318,42,52781,-23.49,45.418,0.021,42.76,0.1,2766.9,202.3,96.0,18.0,23.98,8.02,0.06,-0.7
196.09535,20.91953,2650,207,54505,-22.61,45.101,0.005,42.45,0.03,5278.4,348.5,101.3,8.4,15.77,8.42,0.06,-1.42
196.13763,3.29984,524,531,52027,-22.38,45.016,0.005,42.17,0.02,2610.4,114.3,65.5,4.3,19.68,7.77,0.04,-0.85
196.16957,38.60146,2018,534,53800,-22.56,44.854,0.004,42.11,0.02,5758.5,174.1,80.7,3.2,17.47,8.37,0.03,-1.62
196.21654,11.1335,1696,220,53116,-22.49,44.902,0.004,42.23,0.02,6194.9,288.1,99.8,4.3,19.59,8.46,0.04,-1.66
196.23712,39.85317,2021,595,53475,-23.66,45.481,0.002,42.56,0.11,1752.0,856.0,51.5,10.0,27.36,7.65,0.42,-0.27
196.23715,13.47949,1696,445,53116,-23.25,45.321,0.007,42.15,0.04,2244.9,331.5,29.4,2.9,18.63,7.79,0.13,-0.57
196.2596,28.10027,2242,454,54153,-22.62,45.15,0.004,42.21,0.03,8844.9,637.2,53.3,4.8,18.73,8.89,0.06,-1.85
196.31711,39.21719,2018,568,53800,-22.38,45.093,0.002,42.27,0.01,5915.2,100.8,66.3,2.4,30.85,8.52,0.01,-1.52
196.32014,26.21779,2242,253,54153,-22.58,45.118,0.003,42.09,0.03,2728.5,453.9,41.9,3.7,23.74,7.86,0.14,-0.84
196.35408,57.89919,1318,620,52781,-23.04,45.31,0.004,42.08,0.05,5609.5,1352.2,27.4,3.8,17.44,8.58,0.21,-1.37
196.3773,5.6643,849,590,52439,-22.86,45.196,0.002,42.27,0.02,6124.5,395.9,52.0,3.1,19.79,8.6,0.06,-1.5
196.39371,18.3258,2603,443,54479,-22.77,45.056,0.002,42.26,0.02,4633.0,105.2,73.9,2.7,42.88,8.29,0.02,-1.33
196.46049,-1.3921,339,457,51692,-22.66,45.088,0.007,41.98,0.04,6933.4,2217.9,35.4,4.4,16.2,8.65,0.28,-1.67
196.46461,46.08963,1459,225,53117,-22.53,45.046,0.006,42.29,0.02,5090.8,326.9,78.9,5.1,17.56,8.36,0.06,-1.42
196.57736,8.87818,1796,283,53884,-22.64,45.076,0.003,42.22,0.01,3192.2,95.6,61.2,2.4,22.96,7.97,0.03,-1.0
196.60402,34.02663,2006,623,53476,-22.73,45.237,0.007,42.33,0.07,2024.7,315.0,53.9,7.9,19.66,7.66,0.14,-0.52
196.78653,34.40607,2006,618,53476,-23.69,45.554,0.001,42.73,0.02,3347.1,600.7,65.5,2.7,36.06,8.25,0.16,-0.8
196.80141,34.10626,2006,628,53476,-22.35,45.029,0.004,42.03,0.02,2859.2,211.9,46.0,2.7,28.04,7.85,0.06,-0.93
196.80522,-0.60046,294,194,51986,-22.82,44.973,0.005,42.3,0.03,2350.9,189.0,95.5,6.1,19.9,7.66,0.07,-0.78
196.87508,9.3681,1796,199,53884,-23.42,45.45,0.003,42.71,0.02,7132.3,432.6,77.8,6.0,30.27,8.86,0.05,-1.51
196.96941,60.43016,958,415,52410,-23.25,45.347,0.003,42.49,0.03,7660.5,258.2,60.9,4.3,22.21,8.87,0.03,-1.62
196.98573,1.11934,294,528,51986,-24.18,45.672,0.002,43.01,0.02,4799.4,489.0,98.2,4.9,35.73,8.62,0.09,-1.05
197.07875,3.74367,850,248,52338,-23.93,45.55,0.016,42.94,0.02,2893.7,90.6,108.6,6.1,35.93,8.12,0.03,-0.68
197.08409,27.71761,2242,588,54153,-22.67,45.145,0.004,41.96,0.07,4857.7,573.7,32.3,5.9,19.76,8.37,0.1,-1.33
197.15657,4.54377,850,234,52338,-23.18,45.278,0.005,42.52,0.02,3559.0,156.9,81.1,5.2,20.42,8.17,0.04,-0.99
197.18277,19.07772,2617,143,54502,-23.67,45.594,0.001,42.82,0.05,1799.6,403.5,71.9,6.4,46.47,7.73,0.19,-0.24
197.31,34.75292,2016,86,53799,-22.99,45.169,0.006,42.46,0.02,3201.2,197.7,87.5,5.0,19.25,8.02,0.05,-0.95
197.35675,12.72747,1696,549,53116,-22.73,45.134,0.003,42.28,0.02,2226.6,199.5,62.2,2.9,18.76,7.69,0.08,-0.66
197.36163,45.71582,1459,78,53117,-23.36,45.234,0.007,42.43,0.04,11318.1,3037.8,73.7,7.5,18.41,9.15,0.23,-2.02
197.36531,3.38105,525,329,52295,-22.61,44.99,0.011,42.27,0.03,8903.4,351.0,86.9,8.8,15.88,8.82,0.03,-1.93
197.44583,8.33006,1795,457,54507,-24.48,45.762,0.001,43.16,0.0,4387.9,251.5,106.5,1.6,49.37,8.59,0.05,-0.93
197.53333,63.68432,602,91,52072,-22.68,45.104,0.002,41.9,0.05,1491.2,787.0,28.0,3.3,22.08,7.33,0.46,-0.32
197.82724,46.58397,1461,358,53062,-22.81,45.288,0.003,41.84,0.16,4090.5,7686.4,16.6,4.7,17.77,8.29,1.63,-1.11
197.89859,14.41311,1772,77,53089,-22.5,45.036,0.003,42.32,0.04,1960.3,319.0,85.4,7.9,35.49,7.53,0.14,-0.59
197.93417,20.01997,2618,416,54506,-23.4,45.362,0.003,42.73,0.01,5359.7,161.9,101.2,3.4,28.96,8.57,0.03,-1.3
197.98416,60.33945,958,525,52410,-23.32,45.368,0.003,42.21,0.02,3870.9,227.9,30.9,1.6,21.33,8.29,0.05,-1.02
198.01962,6.68544,1795,106,54507,-24.79,45.945,0.002,43.24,0.01,7459.5,94.1,83.3,3.0,55.84,9.14,0.01,-1.3
198.07396,35.25585,2016,61,53799,-24.67,46.052,0.001,43.18,0.01,4743.1,130.6,59.3,1.4,46.83,8.8,0.02,-0.85
198.09209,29.62994,2009,546,53904,-22.78,45.18,0.005,42.46,0.03,4487.7,210.9,84.6,7.0,20.13,8.32,0.04,-1.24
198.11266,41.1058,1460,197,53138,-22.74,45.173,0.005,42.15,0.05,4132.8,451.2,43.2,5.3,15.19,8.25,0.09,-1.17
198.21835,50.27443,1281,569,52753,-22.81,45.121,0.004,42.39,0.02,12521.9,1016.5,85.0,5.0,16.4,9.18,0.07,-2.16
198.28564,16.3569,2604,232,54484,-22.49,44.943,0.005,42.22,0.08,1647.6,1359.9,85.1,15.0,17.53,7.33,0.72,-0.49
198.28613,54.35431,1040,476,52722,-23.44,45.567,0.003,42.73,0.03,5086.3,175.0,62.6,4.6,29.78,8.62,0.03,-1.16
198.30054,28.79167,2009,70,53904,-22.7,45.097,0.006,42.18,0.03,4133.5,255.4,55.3,4.0,16.56,8.21,0.05,-1.21
198.36449,-2.54247,340,174,51990,-22.33,45.047,0.003,41.8,0.03,8240.8,715.6,26.2,1.8,22.67,8.78,0.08,-1.84
198.52074,15.51505,1773,333,53112,-22.83,45.217,0.011,42.41,0.04,3821.3,128.4,67.1,6.0,34.71,8.2,0.03,-1.08
198.52678,31.97909,2093,123,53818,-22.53,45.025,0.004,42.03,0.02,5905.6,251.2,46.2,2.4,21.86,8.48,0.04,-1.56
198.78593,43.19787,1375,87,53084,-22.56,45.061,0.008,42.44,0.01,2019.1,62.4,103.2,3.8,18.14,7.57,0.03,-0.61
198.89946,13.8157,1773,211,53112,-22.49,45.019,0.002,41.81,0.02,1400.1,83.9,27.5,1.5,20.16,7.23,0.05,-0.31
198.90735,60.75173,784,253,52327,-22.57,45.038,0.005,42.16,0.05,5127.9,502.9,60.5,6.7,16.11,8.37,0.09,-1.43
198.95998,23.07459,2651,448,54507,-22.62,45.094,0.005,41.89,0.06,7662.7,1531.5,29.6,4.4,15.06,8.74,0.17,-1.75
199.24026,64.30289,602,22,52072,-22.9,45.177,0.005,42.3,0.05,6772.9,709.8,61.3,6.3,18.68,8.68,0.09,-1.6
199.2771,6.4899,1797,139,54507,-23.13,45.195,0.006,42.36,0.03,8887.2,2296.9,69.6,4.8,20.49,8.92,0.22,-1.83
199.35562,17.10869,2604,598,54484,-22.31,44.949,0.004,41.89,0.03,8445.4,884.8,41.0,2.8,18.51,8.75,0.09,-1.91
199.40804,10.4077,1798,410,53851,-22.82,45.243,0.004,42.05,0.06,6537.1,776.2,29.9,3.7,20.81,8.68,0.1,-1.54
199.45967,60.17801,958,606,52410,-22.33,44.999,0.003,41.66,0.03,3751.9,299.1,21.4,1.8,27.67,8.07,0.07,-1.18
199.63397,34.89381,2023,192,53851,-23.03,45.157,0.002,42.32,0.02,3372.5,238.8,62.9,3.2,23.66,8.06,0.06,-1.0
199.6964,9.79445,1798,559,53851,-22.93,45.28,0.006,42.05,0.04,7971.9,511.8,26.1,2.9,23.89,8.87,0.06,-1.69
199.78262,27.3078,2243,585,53794,-22.78,45.129,0.006,42.23,0.02,7106.0,853.4,57.5,4.0,17.59,8.69,0.1,-1.67
199.89888,2.37314,526,431,52312,-22.73,45.157,0.002,42.04,0.04,1438.7,236.9,34.7,3.6,20.35,7.32,0.14,-0.26
199.97148,3.55999,526,410,52312,-22.34,45.017,0.004,41.79,0.1,4653.7,780.2,28.1,6.3,16.72,8.27,0.15,-1.35
200.20163,3.04457,526,457,52312,-23.86,45.5,0.007,42.71,0.03,4050.2,202.5,70.2,5.1,31.08,8.39,0.04,-0.99
200.24757,29.95782,2002,538,53471,-23.31,45.413,0.007,42.57,0.03,3603.6,374.0,62.4,6.0,26.67,8.25,0.09,-0.93
200.25348,45.68458,1461,15,53062,-22.95,45.178,0.004,42.34,0.02,5281.6,419.8,65.9,3.6,16.47,8.46,0.07,-1.38
200.27493,50.77624,1667,84,53430,-23.09,45.423,0.003,41.85,0.03,1651.4,374.0,12.2,0.94,28.52,7.57,0.2,-0.25
200.34753,4.99187,852,349,52375,-23.74,45.553,0.002,42.69,0.03,4146.0,112.9,62.0,4.1,30.71,8.44,0.02,-0.99
200.40358,35.93152,2023,531,53851,-24.24,45.575,0.005,42.95,0.02,6731.2,400.6,106.0,6.0,32.12,8.87,0.05,-1.4
200.43738,3.51548,526,537,52312,-24.76,45.79,0.0,43.09,0.01,4727.9,146.2,85.0,1.7,45.67,8.67,0.03,-0.98
200.45027,54.13625,1041,440,52724,-23.05,45.238,0.008,42.48,0.06,5812.9,223.1,76.0,13.0,18.74,8.57,0.03,-1.44
200.49541,52.74477,1041,285,52724,-22.94,45.182,0.005,42.41,0.03,2734.5,179.0,75.5,6.6,17.87,7.89,0.06,-0.81
200.50446,51.71045,1667,543,53430,-22.65,45.127,0.005,42.18,0.04,14564.2,1560.4,57.6,6.8,16.84,9.32,0.09,-2.29
200.64273,63.23564,603,260,52056,-22.67,45.147,0.004,42.1,0.04,4341.4,334.7,41.4,4.3,19.32,8.28,0.07,-1.23
200.74124,36.38335,2023,612,53851,-23.75,45.541,0.005,42.39,0.03,5703.8,623.9,31.6,2.5,26.21,8.71,0.1,-1.27
200.9205,42.90492,1376,94,53089,-22.7,45.062,0.003,41.62,0.04,5592.2,1000.1,17.1,1.6,17.89,8.45,0.16,-1.49
200.9698,-2.01716,341,600,51690,-22.84,45.186,0.006,42.12,0.03,1931.3,219.0,38.6,3.3,23.92,7.59,0.1,-0.51
201.07607,58.81992,959,192,52411,-22.69,45.054,0.006,42.31,0.03,6930.6,424.9,82.9,6.6,20.06,8.64,0.05,-1.68
201.23872,48.04479,1282,45,52759,-23.09,45.303,0.007,42.36,0.03,5170.9,337.4,51.5,3.9,20.44,8.51,0.06,-1.3
201.32558,41.16936,1462,64,53112,-23.15,45.33,0.004,42.47,0.01,7036.1,403.6,60.7,2.2,26.81,8.79,0.05,-1.56
201.49541,-3.51389,910,259,52377,-22.4,45.056,0.003,41.96,0.06,5971.2,637.7,36.9,5.7,18.81,8.51,0.09,-1.55
201.68176,1.86925,527,229,52342,-22.47,45.002,0.001,42.46,0.01,2989.7,82.9,126.0,4.0,19.16,7.88,0.02,-0.98
201.73091,12.78296,1699,331,53148,-22.46,45.171,0.005,42.11,0.03,4224.0,525.2,38.7,3.9,19.01,8.26,0.11,-1.19
202.08502,24.15762,2664,39,54524,-23.31,45.498,0.008,42.71,0.06,1812.0,663.7,69.8,8.5,31.39,7.69,0.32,-0.29
202.08597,31.25702,2110,440,53467,-23.08,45.132,0.022,42.53,0.02,9181.4,467.9,112.7,6.1,21.72,8.92,0.05,-1.89
202.13576,-2.55595,910,167,52377,-22.55,45.051,0.002,41.85,0.04,11553.9,2295.6,31.2,3.4,19.97,9.08,0.17,-2.13
202.38034,7.48587,1801,358,54156,-22.69,45.246,0.005,42.27,0.04,5078.4,1384.6,50.2,5.0,22.47,8.46,0.24,-1.32
202.39761,22.26957,2653,372,54230,-22.82,45.158,0.006,42.27,0.03,3591.8,216.7,58.7,4.8,18.67,8.12,0.05,-1.06
202.47862,18.34492,2641,284,54230,-22.83,45.298,0.004,42.11,0.03,8583.9,730.7,29.1,2.3,28.86,8.94,0.07,-1.75
202.55186,18.43524,2641,269,54230,-22.57,45.022,0.008,42.19,0.04,4150.9,567.5,67.3,7.3,15.92,8.17,0.12,-1.25
202.56711,52.85052,1042,305,52725,-23.41,45.276,0.004,42.49,0.01,8445.1,217.7,75.3,2.5,27.76,8.92,0.02,-1.74
202.71352,41.48282,1464,390,53091,-23.11,45.325,0.001,42.6,0.06,2340.6,411.6,81.7,9.1,27.07,7.83,0.15,-0.6
202.72198,31.32516,2110,518,53467,-23.53,45.358,0.006,42.83,0.02,6280.7,110.5,128.5,4.6,28.1,8.7,0.02,-1.44
202.81516,14.98049,1774,602,53759,-22.42,45.065,0.003,42.35,0.02,3864.3,302.3,84.9,4.2,20.38,8.13,0.07,-1.17
202.96628,5.06267,852,625,52375,-22.45,44.881,0.005,42.1,0.02,7477.5,461.5,76.7,4.8,17.76,8.61,0.05,-1.83
203.15808,59.51491,960,321,52425,-22.82,45.28,0.001,41.95,0.03,12092.8,2714.7,21.2,1.3,39.32,9.23,0.19,-2.05
203.17159,30.0185,2110,43,53467,-22.35,45.103,0.004,42.12,0.04,5882.8,375.4,47.9,4.2,16.05,8.52,0.06,-1.51
203.22195,2.01269,527,33,52342,-22.7,45.163,0.004,42.08,0.06,6166.0,830.1,39.3,5.9,15.97,8.59,0.12,-1.53
203.37274,15.76389,2606,44,54154,-22.72,45.142,0.006,42.58,0.02,10086.8,517.5,123.3,7.7,19.93,9.01,0.04,-1.96
203.43948,41.69104,1464,415,53091,-23.13,45.152,0.008,42.44,0.1,4403.8,362.1,85.1,18.0,20.44,8.29,0.07,-1.24
203.59711,43.72549,1344,487,52792,-22.67,45.247,0.003,42.4,0.06,2708.1,212.9,61.7,6.9,17.19,7.92,0.07,-0.77
203.63452,30.27863,2110,14,53467,-22.52,45.116,0.003,41.81,0.04,3773.8,831.5,22.7,2.3,16.03,8.14,0.19,-1.12
203.63478,17.19639,2606,581,54154,-24.15,45.693,0.004,43.01,0.01,9298.7,156.4,88.3,3.3,36.86,9.21,0.01,-1.62
203.6385,-1.64038,912,339,52427,-23.03,45.269,0.01,42.32,0.05,19717.1,2731.6,51.9,7.4,16.21,9.65,0.12,-2.48
203.63991,60.14584,785,46,52339,-22.93,45.162,0.005,42.29,0.04,4034.5,339.5,59.6,4.8,16.46,8.22,0.07,-1.16
203.64742,57.83768,960,214,52425,-22.58,45.097,0.002,42.11,0.03,2616.2,255.3,46.5,2.7,49.26,7.81,0.08,-0.81
203.71016,1.03857,298,577,51955,-22.73,45.147,0.004,41.61,0.07,2132.9,884.1,13.6,2.1,17.7,7.66,0.36,-0.61
203.76099,9.72354,1802,192,53885,-22.28,44.953,0.002,41.85,0.13,2331.7,941.9,35.0,10.0,17.25,7.64,0.35,-0.79
203.77716,34.20953,1993,142,53762,-23.14,45.474,0.007,42.61,0.03,6515.6,121.2,61.4,6.0,33.22,8.79,0.02,-1.42
204.05125,9.79634,1802,491,53885,-22.57,45.152,0.004,41.99,0.03,6555.9,386.7,32.4,2.4,18.8,8.64,0.05,-1.58
204.10025,39.29197,2005,441,53472,-23.42,45.39,0.002,42.3,0.02,3472.2,399.7,38.8,1.4,28.75,8.2,0.1,-0.91
204.15273,42.1595,1344,91,52792,-23.62,45.501,0.002,42.8,0.01,4641.3,660.9,86.4,1.9,31.33,8.51,0.12,-1.11
204.20462,-0.34926,298,103,51955,-23.33,45.272,0.005,42.57,0.02,7272.0,420.5,88.0,5.0,20.9,8.79,0.05,-1.61
204.31633,3.16016,528,522,52022,-22.31,45.039,0.003,41.63,0.07,9641.7,2412.7,18.6,3.1,20.55,8.91,0.22,-1.98
204.48091,41.1501,1464,550,53091,-22.5,45.136,0.004,42.18,0.04,4705.6,203.7,49.2,4.9,19.87,8.34,0.04,-1.3
204.61119,17.0767,2607,477,54184,-22.99,45.327,0.002,42.37,0.03,2200.0,249.3,48.8,2.7,33.25,7.78,0.1,-0.55
204.65303,44.24514,1344,615,52792,-22.91,45.219,0.008,42.54,0.03,6500.2,186.9,90.4,8.1,16.77,8.66,0.03,-1.54
204.75568,45.38174,1465,240,53082,-22.69,45.141,0.005,42.32,0.02,2725.0,460.6,67.0,4.4,20.63,7.87,0.15,-0.83
204.80156,53.92427,1042,499,52725,-23.45,45.534,0.003,42.81,0.04,3808.3,463.7,83.1,9.8,28.71,8.36,0.11,-0.92
204.86597,66.48358,497,437,51989,-22.63,45.012,0.003,42.13,0.03,5069.9,154.5,59.6,4.8,29.08,8.34,0.03,-1.43
204.87083,52.4565,1042,132,52725,-23.3,45.272,0.003,42.04,0.15,3787.5,1183.1,25.7,14.0,18.84,8.22,0.27,-1.05
204.95996,15.99116,2607,178,54184,-22.99,45.321,0.012,42.66,0.02,12925.9,349.4,99.2,5.1,25.39,9.31,0.02,-2.09
204.96448,50.18362,1669,240,53433,-22.5,45.171,0.003,41.95,0.05,2551.5,268.8,27.5,3.2,18.72,7.83,0.09,-0.76
204.96996,12.30465,1700,546,53502,-22.96,45.301,0.003,42.31,0.04,4385.9,516.8,46.5,4.9,19.63,8.36,0.1,-1.16
205.01251,36.50442,2101,118,53858,-22.77,45.206,0.004,42.16,0.04,6605.7,276.5,41.9,4.5,20.92,8.67,0.04,-1.56
205.13341,5.36627,854,335,52373,-23.24,45.4,0.004,42.6,0.02,6184.9,404.9,67.6,5.3,29.49,8.71,0.06,-1.41
205.14717,55.82548,1322,389,52791,-22.81,45.203,0.004,42.16,0.03,6089.2,478.2,40.6,3.0,17.56,8.6,0.07,-1.49
205.15921,40.61132,1377,358,53050,-23.19,45.201,0.002,42.5,0.02,2566.8,142.4,89.4,3.7,30.38,7.85,0.05,-0.75
205.27303,37.24771,2101,496,53858,-22.77,45.179,0.003,42.3,0.01,4573.5,140.8,59.1,2.3,26.33,8.34,0.03,-1.26
205.30804,-0.88751,299,133,51671,-23.6,45.313,0.01,42.74,0.07,2127.8,494.7,121.9,28.0,36.62,7.74,0.2,-0.53
